11-73,29-73
43-82,44-44
13-85,12-36
69-80,5-44
60-63,30-62
21-21,21-79
5-91,92-99
1-5,4-9
32-66,23-31
10-10,10-72
63-88,62-63
2-5,4-33
19-67,72-86
3-98,2-84
2-38,32-84
27-78,69-85
77-95,78-95
79-81,22-80
71-71,39-72
3-3,7-31
11-97,12-99
40-47,40-49
24-58,57-58
96-96,9-96
13-43,14-44
29-76,94-98
65-87,51-86
28-66,28-28
57-90,58-58
7-98,8-97
17-92,18-91
8-75,3-5
7-29,6-13
39-68,55-70
2-96,2-97
4-84,5-85
3-90,65-89
98-98,1-99
40-43,19-42
49-74,19-73
33-84,3-84
24-33,7-91
5-30,6-6
19-89,20-88
36-75,74-76
36-76,75-75
4-53,27-53
9-65,8-97
69-76,41-84
81-81,53-82
3-99,3-98
24-75,25-25
4-89,1-77
11-60,11-28
43-97,98-99
72-74,4-73
51-81,56-82
97-98,1-98
8-9,9-9
10-30,30-43
95-97,71-95
35-42,32-36
12-89,11-90
20-66,20-20
45-93,94-99
15-47,15-47
87-99,13-86
29-90,56-76
20-27,20-28
34-35,3-35
12-12,12-35
48-90,47-90
63-91,92-92
3-99,2-99
26-59,26-59
24-65,24-24
6-96,6-94
47-50,48-49
12-74,11-23
11-72,73-77
12-74,11-28
36-76,37-75
3-82,2-83
9-24,8-23
76-79,67-78
9-95,10-94
1-97,4-92
39-39,11-39
17-94,17-95
21-46,20-46
2-99,3-98
27-97,26-97
3-43,34-83
35-87,36-87
30-90,31-89
10-39,3-10
61-92,15-62
3-96,2-97
59-85,86-92
17-96,9-45
2-99,3-3
36-91,35-37
19-73,20-20
3-83,2-3
2-4,3-97
63-64,63-63
1-38,2-69
48-65,57-65
10-85,10-10
26-81,26-81
7-42,43-55
11-46,10-47
4-76,5-76
37-42,33-42
51-64,52-64
94-96,17-93
5-7,6-76
26-91,25-88
3-85,1-84
44-44,43-76
65-66,66-84
25-89,33-90
63-81,14-63
45-62,45-63
14-73,14-72
16-59,59-92
85-86,83-87
2-40,23-39
35-46,35-45
5-84,6-6
18-24,18-25
1-95,54-94
53-90,52-91
36-89,90-98
84-84,69-83
22-23,23-75
89-91,86-90
23-60,18-60
78-87,87-90
49-91,40-90
22-94,26-94
19-34,20-95
65-67,12-66
41-73,42-73
1-58,3-63
22-34,7-35
32-39,31-33
81-85,39-80
5-5,4-94
9-95,10-95
85-98,31-85
32-66,33-72
33-45,33-45
93-95,14-94
12-76,9-65
40-42,11-41
8-67,9-66
26-81,26-26
74-86,95-95
46-48,46-91
4-95,2-5
52-58,51-58
67-99,21-67
2-66,2-26
62-97,61-69
50-56,50-56
6-7,7-96
19-69,99-99
6-40,6-39
12-80,8-15
41-42,41-42
6-91,5-92
